No;Stream;W(m);H(m);U(m∕s);U*(m∕s);Kx(m2∕s);sigma
1;Copper_Creek_VA_(below_gauge);15.9;0.49;0.21;0.079;19.52;0
2;Copper_Creek_VA_(below_gauge);18.3;0.84;0.52;0.1;21.4;0
3;Copper_Creek_VA_(below_gauge);16.2;0.49;0.25;0.079;9.5;0
4;Clinch_River_TN_(below_gauge);46.9;0.86;0.28;0.067;13.93;0
5;Clinch_River_TN_(below_gauge);59.4;2.13;0.86;0.104;53.88;0
6;Clinch_River_TN_(below_gauge);53.3;2.09;0.79;0.107;46.45;0
7;Copper_Creek_VA_(above_gauge);18.6;0.39;0.14;0.116;9.85;0
8;Power_River_TN;33.8;0.85;0.16;0.055;9.5;0
9;Clinch_River_VA;36;0.58;0.3;0.049;8.08;0
10;Green_and_Duwamish;21.77;1.58;0.31;0.058395;6.5;0
11;Green_and_Duwamish;29.61;1.08;0.36;0.048279;0.5;1.41
12;Bayou_Anacoco;19.8;0.41;0.29;0.044;13.94;1.3
13;Nooksack_River;86;2.94;1.2;0.514;153.29;0
14;Antietam_Creek;15.8;0.39;0.32;0.06;9.29;0
15;Antietam_Creek;19.8;0.52;0.43;0.069;16.26;0
16;Antietam_Creek;24.4;0.71;0.52;0.081;25.55;0
17;Monocacy_River;35.1;0.32;0.21;0.04;4.65;0
18;Monocacy_River;36.6;0.45;0.32;0.05;13.94;0
19;Monocacy_River;47.5;0.87;0.44;0.07;37.16;0
20;Missouri_River;182.9;2.23;0.93;0.065;464.52;1.35
21;Missouri_River;201.2;3.56;1.27;0.082;836.13;1.35
22;Missouri_River;196.6;3.11;1.53;0.077;891.87;1.35
23;Wind_Bighom_Rivers;67.1;0.98;0.88;0.11;41.81;0
24;Elkhom_River;32.6;0.3;0.43;0.046;9.29;0
25;Elkhom_River;50.9;0.42;0.46;0.046;20.9;0
26;John_day_River;25;0.56;1.01;0.137;13.94;1.08
27;Comite_River;12.5;0.26;0.31;0.043;6.97;1.31
28;Comite_River;15.8;0.41;0.37;0.055;13.94;1.31
