Number;U/u*;W/H;sigma;Kx
1;7.37;42.7;1.4;17.5
2;8.99;43.8;1.26;25.9
3;5.06;18;2.25;20.9
4;3.48;131;1.28;41.4
5;14.09;78.8;1.28;29.6
6;5.52;84.8;1.61;119.8
7;5.75;98.8;1.61;66.5
8;7.78;38.1;1.31;53.3
9;1.85;121.2;2.25;29.3
10;5.53;37.7;1.57;166.9
11;4.03;46.8;1.09;1.9
12;2.33;16.1;1.08;2.9
13;7.36;72.3;1.013;7.1
14;5.07;27.6;1.41;32.5
15;9.23;68.3;1.31;69
16;6.45;23.9;2.46;54.7
17;3.38;25.4;1.75;10.3
18;17;74.8;1.46;44
19;19.06;156.5;1.2;143.8
20;7.89;41.6;1.44;227.6
21;13.06;89.1;1.24;177.7
22;7.67;23.9;2.05;14.7
23;10.29;22.9;1.47;24.2
24;11.37;35.8;1.56;464.6
25;7.39;54;1.18;41.8
26;9.23;31.8;1.18;162.6
27;3.04;41.8;1.25;14.8
28;5.07;47;1.14;10.7
29;7.21;23.6;1.14;40.5
30;6.17;22.1;1.14;36.9
31;3;35.7;2.54;24.6
32;2.41;42.3;2.2;15.5
33;4.85;23.3;1.26;20.8
34;7.21;43.1;1.08;13.9
35;4.56;13.8;1.89;65
36;4.26;29.8;2.17;111.5
37;5.94;18.6;2.17;260.1
38;6.44;47.6;1.41;13.9
39;7.05;50;1.31;7
40;6.61;37.2;1.31;13.9
41;13.48;78.5;1.35;465
42;15.24;56.5;1.35;837
43;19.62;63.3;1.35;892
44;6.02;24.6;2.25;101.5
45;5;88.5;1.28;37.8
46;3.59;61.2;2.25;40.8
47;5.36;38.8;1.27;88.9
48;6.32;64;1.38;52.2
49;13.33;38.9;1.41;5.8
50;5.97;40.2;1.41;39.5
51;6.67;38.8;1.46;45.1
52;4.83;40.8;1.44;130.5
53;10.74;70.5;1.19;131.3
54;3.51;28.4;2.53;12.8
55;6.97;32.3;1.56;184.6
56;2.5;34.1;2.54;16.8
57;1.29;48.2;2.54;20.7
58;2.5;84.2;1.3;34.8
59;6;150.4;1.13;92.9
60;19.63;69.1;1.17;308.9
61;2.26;29.4;1.3;153
62;6.31;64;1.38;52.2
63;13.33;39;1.41;5.8
64;20;41;2.93;501.4
65;16.1;15.6;1;5.92
66;14.14;6;1;3
67;9.35;108.7;1.09;9.3
68;9.91;121.2;1.09;20.9
69;7.01;48.1;1.31;7
70;6.6;38.5;1.31;13.9
