Number;Stream;Observed;Sahay;REF;Fischer;Liu;I-A;S-C;K-F;D-S-B;S-D
1;Antietam Creek Md.;20.9;44.5;26.8;5.1;7.4;8.6;20.2;15.2;15.0;13.7
2;Monocacy River Md.;37.8;22.76;27.1;61.7;90.3;47.7;27.1;7.6;28.2;31.7
3;Monocacy River Md.;41.4;46.1;31.4;74.6;188.1;97.9;23.5;4.2;25.8;33.4
4;Conococheague Creek; 53.3;65.4;43;88.2;66.5;43.0;96.7;58.8;93.1;78.2
5;Chattahoochee River Ga;88.9;95.5;77.6;127.9;168.6;129.9;169.1;82.1;168.6;147.1
6;Bear Creek Colo.;2.9;50.07;39.2;7.3;33.6;60.8;52.2;27.1;28.1;39.1
7;Tangipahoa River La;44;31.4;26.5;142.1;33.2;10.3;39.2;24.5;28.7;34.7
8;Sabina River La;308.9;303.41;346.6;2535.1;477.0;143.9;718.7;512.3;508.4;603.8
9;Sabina River Tex.;12.8;26.9;21.9;2.0;5.0;5.6;5.2;2.4;4.6;4.4
10;Mississippi River La;237.2;325.6;838;2134.2;691.9;348.3;1854.5;1618.5;1617.7;1327.3
11;Mississippi River Mo;457.7;504.9;838;10122.8;2790.4;764.9;1793.0;837.6;1245.1;1834.5
12;Mississippi River Mo;374.1;420.1;838;8390.4;2235.4;810.1;3271.5;2220.1;2579.3;2736.0
13;Wind/Big. River Wyo;41.8;113.9;59.7;229.6;186.8;103.9;159.9;76.0;156.5;147.0
14;Clinch River Va;10.7;13.7;26.9;26.4;37.8;27.2;27.6;11.5;28.4;25.8
15;Clinch River Va;36.9;48.6;76.6;52.6;56.2;53.5;139.6;104.1;118.2;97.8
16;Powell River Tenn.;15.5;26.3;25.3;5.4;23.5;25.8;9.9;2.9;9.9;10.3
17;JohnDay River Ore.;13.9;94.6;45.2;86.4;72.9;46.0;83.3;44.8;81.7;71.2
18;JohnDay River Ore.;65;83.3;77.2;19.3;32.6;45.6;116.7;97.9;71.1;73.6
19;White River;30.2;37.17;31.7;229.0;170.0;62.8;54.3;17.7;46.4;65.18
20;Missouri River;892;880.7;763.4;4119.6;776.0;244.6;1317.3;990.5;950.9;1074.7
