Stream;Training;B(m);H(m);U(m/s);u*(m/s);B/H;U/u*;beta;sigma;Kx(m2/s)
Antietam_Creek_Md.;*;12.8;0.30;0.42;0.057;42.7;7.37;3.75;1.40;17.5
Antietam_Creek_Md.;*;24.1;0.98;0.59;0.098;24.6;6.02;3.20;2.25;101.5
Antietam_Creek_Md.;**;11.9;0.66;0.43;0.085;18.0;5.06;2.89;2.25;20.9
Antietam_Creek_Md.;*;21.0;0.48;0.62;0.069;43.8;8.99;3.78;1.26;25.9
Monocacy_River_Md.;**;48.7;0.55;0.26;0.052;88.5;5.00;4.48;1.28;37.8
Monocacy_River_Md.;**;93.0;0.71;0.16;0.046;131.0;3.48;4.88;1.28;41.4
Monocacy_River_Md.;*;51.2;0.65;0.62;0.044;78.8;14.09;4.37;1.28;29.6
Monocacy_River_Md.;*;97.5;1.15;0.32;0.058;84.8;5.52;4.44;1.61;119.8
Monocacy_River_Md.;*;40.5;0.41;0.23;0.040;98.8;5.75;4.59;1.61;66.5
Conococheague_Creek_Md.;*;42.2;0.69;0.23;0.064;61.2;3.59;4.11;2.25;40.8
Conococheague_Creek_Md.;*;49.7;0.41;0.15;0.081;121.2;1.85;4.80;2.25;29.3
Conococheague_Creek_Md.;**;43.0;1.13;0.63;0.081;38.1;7.78;3.64;1.31;53.3
Chattahoochee_River_Ga.;**;75.6;1.95;0.74;0.138;38.8;5.36;3.66;1.27;88.9
Chattahoochee_River_Ga.;*;91.9;2.44;0.52;0.094;37.7;5.53;3.63;1.57;166.9
Salt_Creek_Neb.;*;32.0;0.50;0.24;0.038;64.0;6.32;4.16;1.38;52.2
Diffcult_Run_Va.;*;14.5;0.31;0.25;0.062;46.8;4.03;3.85;1.09;1.9
Bear_Creek_Colo.;**;13.7;0.85;1.29;0.553;16.1;2.33;2.78;1.08;2.9
Little_Pincy_Creek_Md.;*;15.9;0.22;0.39;0.053;72.3;7.36;4.28;1.13;7.1
Bayou_Anacoco_La.;*;17.5;0.45;0.32;0.024;38.9;13.33;3.66;1.41;5.8
Bayou_Anacoco_La.;*;25.9;0.94;0.34;0.067;27.6;5.07;3.32;1.41;32.5
Bayou_Anacoco_La.;*;36.6;0.91;0.40;0.067;40.2;5.97;3.69;1.41;39.5
Comite_River_La.;*;15.7;0.23;0.36;0.039;68.3;9.23;4.22;1.31;69.0
Bayou_Bartholomew_La;*;33.4;1.40;0.20;0.031;23.9;6.45;3.17;2.46;54.7
Tickfau_River_La.;*;15.0;0.59;0.27;0.080;25.4;3.38;3.23;1.75;10.3
Tangipahoa_River_La.;*;31.4;0.81;0.48;0.072;38.8;6.67;3.66;1.46;45.1
