No;Source;Channel;H(m);W(m);U(m/s);U*(m/s);D1(m2/s);W/H;U/U*;U*/U;D1/HU*;Dataset
1;Fischer_(1968);Copper_creek_VA(below_gage)°;0.49;15.90;0.21;0.08;19.52;32.45;2.66;0.38;504.26;C
2;Fischer_(1968);Copper_creek_VA(below_gage)°;0.84;18.30;0.52;0.10;21.40;21.79;5.20;0.19;254.76;C
3;Fischer_(1968);Copper_creek_VA(below_gage)°;0.49;16.20;0.25;0.08;9.50;33.06;3.16;0.32;245.41;C
4;Fischer_(1968);Clinch_river_TN(below_gage)°;0.86;46.90;0.28;0.07;13.93;54.53;4.18;0.24;241.76;M
5;Fischer_(1968);Clinch_river_TN(below_gage)°;2.13;59.40;0.86;0.10;53.88;27.89;8.27;0.12;243.23;C
6;Fischer_(1968);Clinch_river_TN(below_gage)°;2.09;53.30;0.79;0.11;46.45;25.50;7.38;0.14;207.71;C
7;Fischer_(1968);Copper_creek_VA(above_gage)°;0.39;18.60;0.14;0.12;9.85;47.69;1.21;0.83;217.73;M
8;Fischer_(1968);Power_river_TN°;0.85;33.80;0.16;0.06;9.50;39.76;2.91;0.34;203.21;C
9;Fischer_(1968);Clinch_river_VA°;0.58;36.00;0.30;0.05;8.08;62.07;6.12;0.16;284.31;C
10;Fischer_(1968);Coachell_canal_CA°;1.56;24.40;0.67;0.04;9.57;15.64;15.58;0.06;142.67;C
11;McQuivey_and_Keefer_(1974);Bayou_Anacoco°;0.41;19.80;0.29;0.04;13.94;48.29;6.59;0.15;772.73;C
12;McQuivey_and_Keefer_(1974);Nooksack_river°;2.94;86.00;1.20;0.51;153.29;29.25;2.33;0.43;101.44;M
13;McQuivey_and_Keefer_(1974);Antietam_creek°;0.39;15.80;0.32;0.06;9.29;40.51;5.33;0.19;397.01;C
14;McQuivey_and_Keefer_(1974);Antietam_creek°;0.52;19.80;0.43;0.07;16.26;38.08;6.23;0.16;453.18;C
15;McQuivey_and_Keefer_(1974);Antietam_creek°;0.71;24.40;0.52;0.08;25.55;34.37;6.42;0.16;444.27;M
16;McQuivey_and_Keefer_(1974);Monocacy_river°;0.32;35.10;0.21;0.04;4.65;109.69;4.88;0.20;337.94;C
17;McQuivey_and_Keefer_(1974);Monocacy_river°;0.45;36.60;0.32;0.05;13.94;81.33;6.27;0.16;607.41;C
18;McQuivey_and_Keefer_(1974);Monocacy_river°;0.87;47.50;0.44;0.07;37.16;54.60;6.29;0.16;610.18;C
19;McQuivey_and_Keefer_(1974);Missouri_river°;2.23;182.90;0.93;0.07;464.52;82.02;14.31;0.07;3204.69;M
20;McQuivey_and_Keefer_(1974);Missouri_river°;3.56;201.20;1.27;0.08;836.13;56.52;15.49;0.06;2864.24;C
21;McQuivey_and_Keefer_(1974);Missouri_river°;3.11;196.60;1.53;0.08;891.87;63.22;19.87;0.05;3724.35;C
22;McQuivey_and_Keefer_(1974);Wind/Bighom_rivers°;0.98;67.10;0.88;0.11;41.81;68.47;8.00;0.13;387.85;M
23;McQuivey_and_Keefer_(1974);Elkhom_river°;0.30;32.60;0.43;0.05;9.29;108.67;9.35;0.11;673.19;C
24;McQuivey_and_Keefer_(1974);Elkhom_river°;0.42;50.90;0.46;0.05;20.90;121.19;10.00;0.10;1081.78;C
25;McQuivey_and_Keefer_(1974);John_Day_river°;0.56;25.00;1.01;0.14;13.94;44.64;7.37;0.14;181.70;C
26;McQuivey_and_Keefer_(1974);Comite_river°;0.26;12.50;0.31;0.04;6.97;48.08;7.21;0.14;623.43;C
27;McQuivey_and_Keefer_(1974);Comite_river°;0.41;15.80;0.37;0.06;13.94;38.54;6.73;0.15;618.18;C
28;McQuivey_and_Keefer_(1974);Amite_river°;0.81;36.60;0.29;0.07;23.23;45.19;4.26;0.23;421.75;C
